x,y
0,25
1,25.5
2,26
3,26.5
4,27
5,27.5
6,28
7,28.5
8,29
9,29.5
10,30
11,30.5
12,31
13,31.5
14,32
15,32.5
16,33
17,33.5
18,34
19,34.5
20,35
21,35.5
22,36
23,36.5
24,37
25,37.5
26,38
27,38.5
28,39
29,39.5
30,40
31,40.5
32,41
33,41.5
34,42
35,42.5
36,43
37,43.5
38,44
39,44.5
40,45
41,45.5
42,46
43,46.5
44,47
45,47.5
46,48
47,48.5
48,49
49,49.5
50,50
51,50.5
52,51
53,51.5
54,52
55,52.5
56,53
57,53.5
58,54
59,54.5
60,55
61,55.5
62,56
63,56.5
64,57
65,57.5
66,58
67,58.5
68,59
69,59.5
70,60
71,60.5
72,61
73,61.5
74,62
75,62.5
76,63
77,63.5
78,64
79,64.5
80,65
81,65.5
82,66
83,66.5
84,67
85,67.5
86,68
87,68.5
88,69
89,69.5
90,70
91,70.5
92,71
93,71.5
94,72
95,72.5
96,73
97,73.5
98,74
99,74.5
